"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "legkondicionalo"
"1" "25" "37" "1" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"2" "59.76" "68" "3" " 7. kerület, Dohány utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "külön és egyben is" "dél" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"3" "29.99" "21" "1" " 1. kerület, Víziváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"4" "25.2" "46" "1" " 14. kerület, Rákosfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA
"5" "97.99" "84" "2.5" " 14. kerület, Kerékgyártó utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"6" "69.9" "56" "2" " 12. kerület, Sárospatak út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"7" "121" "110" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" NA "luxus" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"8" "36.99" "55" "2" " 11. kerület, Regos köz " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület" "30 000 Ft/hó" NA
"9" "59.9" "80" "3" " 16. kerület, Andocs utca " "újszeru" "2011" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA
"10" "43.5" "47" "2" " 11. kerület, Lágymányosi lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
