"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "59.5" "62" "3" " 8. kerület, BRSS106 " "BRSS106" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "igen" "külön helyiségben" "kelet" "nincs megadva" "4.64 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.7 M Ft" NA
"2" "45.99" "44" "2" " 8. kerület, BRSS106 " "BRSS106" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "kelet" "nincs megadva" "19.9 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.7 M Ft" NA
"3" "30.6" "45" "2" " 10. kerület, Kelemen utca " NA "nincs megadva" "2019" "összkomfortos" "AA" "1" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, hoszivattyú" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "udvari beálló - megvásárolható" "11.4 M Ft" "10 000 Ft/hó"
"4" "45" "59" "1" " 2. kerület, Trombitás út " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "6" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "35" "32" "1" " 12. kerület, Városmajor utca " NA "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"6" "70.01" "61" "3" " 11. kerület, Sasad Liget V. ütem " "Sasad Liget V. ütem" "új építésu" "2017" "duplakomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "16.58 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA
"7" "51.9" "50" "2" " 11. kerület, Gellérthegy " NA "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"8" "26.9" "30" "1" " 13. kerület, Visegrádi utca " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"9" "55" "59" "2" " 2. kerület, Kuruclesi út " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"10" "16.5" "42" "1" " 2. kerület, Nagybányai út 55. " NA "felújítandó" NA "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "78.45" "52" "1" " 5. kerület, Alkotmány utca " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"12" "64.9" "68" "2" " 7. kerület, Dohány utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "84.9" "73" "3" " 5. kerület, Balaton utca " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "1.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó"
