"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "epites_eve" "parkolohely_ara"
"1" "42" "39" "2" " 3. kerület, Beszterce utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "44.8" "70" "3" " 11. kerület, Sáfrány utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "45 000 Ft/hó" "5 m²" "részt vett" NA NA
"3" "34.9" "44" "1" " 17. kerület, Borsó utca 64. " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "20 000 Ft/hó" "7 m²" NA "2001-2010 között" NA
"4" "35.9" "51" "2" " 18. kerület, Visnyovszky Lajos utca 4. " "újszeru" "nincs megadva" "BB" "4" "5" "van" "nincs megadva" "házközponti, házközponti egyedi méréssel" NA "igen" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA "2 m²" NA "2001-2010 között" NA
"5" "31" "38" "1" " 14. kerület, Torontál utca 56. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "1950-1980 között" NA
"6" "81" "63" "3" " 13. kerület, Meder utca " "nincs megadva" "luxus" "nincs megadva" "7" "9" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "északnyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" NA "18 m²" NA "2019" NA
"7" "22.9" "27" "1" " 17. kerület, Borsó utca 64. " "nincs megadva" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA NA
"8" "69.9" "100" "4" " 9. kerület, Gyáli út 15. " "felújított" "luxus" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "15 000 Ft/hó" "60 m²" NA "2019" NA
"9" "39.9" "41" "1" " 13. kerület, Népfürdo utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "29 000 Ft/hó" "2 m²" NA "1950-1980 között" NA
"10" "47.9" "50" "2" " 1. kerület, Donáti utca 40-42 " "újszeru" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
