"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "52.9" "95" "4" " 20. kerület, Erkel Ferenc utca 5. " "újszeru" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"2" "49.7" "66" "3" " 13. kerület, Angyalföld – Loportárdulo " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nincs megadva" "nincs megadva" "van" NA NA NA
"3" "25" "26" "1" " 13. kerület, Mohács utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"4" "33.99" "55" "1" " 11. kerület, Somogyi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" "nincs" NA NA NA
"5" "43.9" "52" "2" " 12. kerület, Dániel út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "5.2 m²" NA NA
"6" "29.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "részt vett" NA
"7" "28.9" "46" "1" " 14. kerület, Kerepesi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"8" "120" "124" "4" " 6. kerület, Eötvös utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" "8 m²" NA "50 000 Ft/hó"
"9" "46.9" "68" "3" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "170" "155" "4" " 7. kerület, Király utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"11" "132" "212" "3" " 2. kerület, Bimbó út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "47 m²" NA NA
"12" "44.9" "45" "1" " 12. kerület, Krisztina körút " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "nincs megadva" NA "1 m²" NA NA
"13" "26.8" "38" "1" " 14. kerület, Alsórákos " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "udvari beálló - benne van az árban" "van" "10 m²" NA NA
"14" "24" "34" "1" " 14. kerület, Vezér utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"15" "48" "48" "2" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA "35 000 Ft/hó"
