"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "lakopark_neve" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "99.7" "131" "3" " 7. kerület, Középso-Erzsébetváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "utcai" "33.15 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "46" "64" "2" " 2. kerület, Zöldmál " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"3" "57.5" "51" "2" " 13. kerület, Westend Ház " "új építésu" "2018" "összkomfortos" "nincs megadva" "1" "több mint 10" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "7.84 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "Westend Ház" "7 M Ft" NA NA
"4" "156" "159" "5" " 2. kerület, Rózsadomb " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "15 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "van" NA NA NA NA
"5" "158.08" "140" "5" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "délnyugat" "panorámás" "74 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "Sasad Resort Hilltop by Cordia" "3.5 M Ft" NA NA
"6" "109.38" "104" "4" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "36 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "Sasad Resort Hilltop by Cordia" "3.5 M Ft" NA NA
"7" "48.7" "43" "2" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "kelet" "utcai" "7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "Sasad Resort Hilltop by Cordia" "3.5 M Ft" NA NA
"8" "66.9" "65" "3" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "kelet" "utcai" "12 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "Sasad Resort Hilltop by Cordia" "3 M Ft" NA NA
"9" "22.4" "50" "2" " 10. kerület, Bányató utca 26. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "dél" "utcai" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "20 000 Ft/hó" "nem vett részt"
"10" "64.5" "65" "3" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "nyugat" "utcai" "12 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "Sasad Resort Hilltop by Cordia" "3.5 M Ft" NA NA
