"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "89" "118" "3" " 7. kerület, Akácfa utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "27.99" "41" "1" " 11. kerület, Kelenföld " "felújított" "összkomfortos" "nincs megadva" "szuterén" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "igen" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA NA NA
"3" "26.9" "51" "2" " 3. kerület, Madzsar József utca " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "7 m²" "részt vett" NA NA
"4" "34.5" "49" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "van" "4 m²" "nem vett részt" NA NA
"5" "20.9" "35" "1" " 8. kerület, Baross utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA NA
"6" "23.6" "56" "2" " 21. kerület, Kiss János altábornagy utca " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" "4 m²" "nem vett részt" NA NA
"7" "52.9" "63" "2" " 14. kerület, Alsórákos " "újszeru" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2001-2010 között" "van" NA NA NA NA
"8" "109" "117" "4" " 2. kerület, Erod utca " "újszeru" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2013" NA "21.5 m²" NA NA NA
"9" "36.9" "63" "2" " 11. kerület, Andor utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "6 m²" "nem vett részt" NA NA
"10" "84.9" "85" "2" " 1. kerület, Alagút utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "elektromos" "igen" "külön helyiségben" "dél" "utcai" "igen" "nem tetotéri" "nincs megadva" "1950 elott" "nincs" NA NA "13 000 Ft/hó" NA
