"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "173" "153" "5" " 11. kerület, Brassó út 143. " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "panorámás" "36 m²" "nem" "tetotéri" "teremgarázs hely" NA NA NA
"2" "7.7" "17" "1" " 18. kerület, Csapó utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "26.5" "27" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"4" "26.9" "50" "2" " 10. kerület, Ligettelek " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"5" "248" "164" "4" " 5. kerület, József nádor tér " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "25.9" "25" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "25.9" "24" "1" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "44.9" "66" "3" " 3. kerület, Folyamor utca 2. " "felújított" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "részt vett" "14 190 Ft/hó" NA
"9" "53.5" "59" "1" " 7. kerület, Izabella utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "40.9" "73" "2.5" " 3. kerület, Kaszásduloi lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "házközponti" "van" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA NA
"11" "31.9" "49" "2" " 14. kerület, Kiszugló " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "4 m²" "nincs megadva" NA "udvari beálló" NA NA NA
"12" "26.99" "50" "2" " 3. kerület, Óbudai lakótelep " "felújítandó" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA
"13" "69" "78" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "29" "29" "1" " 7. kerület, Cserhát utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó" NA
"15" "56.9" "77" "3" " 11. kerület, Kelenföld " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"16" "40" "37" "1" " 4. kerület, Attila utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "30.99" "51" "1" " 3. kerület, Hollós Korvin Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA
"18" "27.5" "30" "1" " 16. kerület, Nonn János utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "42.5" "51" "2" " 13. kerület, Angyalföld " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "3 M Ft"
"20" "41.9" "49" "1" " 3. kerület, Eso utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "30 000 Ft/hó" NA
