"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara" "lakopark_neve"
"1" "41" "74" "2" " 13. kerület, Keszkeno utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"2" "249" "90" "3" " 2. kerület, Ábrányi Emil utca " "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "penthouse" NA "teremgarázs hely - megvásárolható" "85 m²" "8 M Ft" NA
"3" "22.99" "31" "1" " 14. kerület, Nagy Lajos király útja " "felújított" NA "komfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "7 500 Ft/hó" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"4" "259" "140" "4" " 2. kerület, Ábrányi Emil utca " "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely - megvásárolható" "28 m²" "8 M Ft" NA
"5" "47.5" "48" "1" " 1. kerület, Logodi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"6" "71.9" "99" "3" " 6. kerület, Csengery utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"7" "20.5" "36" "1" " 21. kerület, Csepel-Belváros " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "távfutés" "van" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"8" "72.9" "78" "3" " 2. kerület, Árpád fejedelem útja " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "4 m²" NA NA
"9" "67.9" "58" "3" " 7. kerület, Klauzál utca " "felújított" NA "luxus" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"10" "550" "735" "26" " 22. kerület, Budafok " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "tetotéri" NA "udvari beálló - benne van az árban" "85 m²" NA NA
