"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "34.99" "71" "2" " 4. kerület, Nyár utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "89.9" "110" "3" " 13. kerület, Frangepán utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "80 m²" "igen" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" "4 M Ft" NA
"3" "42.9" "54" "2" " 2. kerület, Törökvész út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" NA NA "udvari beálló - benne van az árban" "van" NA NA
"4" "79.9" "97" "2" " 11. kerület, Budafoki út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA "40 000 Ft/hó"
"5" "140" "160" "7" " 11. kerület, Sasad " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "46 m²" "igen" "nincs megadva" NA "önálló garázs - kötelezo megvenni" "van" "4 M Ft" NA
"6" "49.9" "74" "2" " 13. kerület, Dózsa György út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" "nincs" NA NA
"7" "69.9" "67" "2" " 12. kerület, Zugligeti út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nem" "legfelso emelet, nem tetotéri" NA "udvari beálló - benne van az árban" "nincs" NA NA
"8" "22.9" "36" "1" " 15. kerület, Pestújhely " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "van" NA NA
"9" "49.4" "54" "2" " 11. kerület, Daróczi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"10" "39.9" "98" "3" " 15. kerület, Rákospalota " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA "25 000 Ft/hó"
"11" "32.9" "45" "2" " 14. kerület, Alsórákos " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"12" "46.42" "73" "4" " 19. kerület, Lehel utca 6. " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "3" "7" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"13" "39.9" "61" "2" " 9. kerület, Sobieski János utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület" "van" NA "25 000 Ft/hó"
"14" "17.99" "35" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "nincs" NA "25 000 Ft/hó"
"15" "38.5" "58" "2" " 9. kerület, Ülloi út " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "25 000 Ft/hó"
"16" "38.9" "60" "2" " 17. kerület, Rákoshegy – Helikopter lakópark " "újszeru" "2001-2010 között" "összkomfortos" "B" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "4 m²" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "van" NA "30 000 Ft/hó"
