"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg"
"1" "47.9" "65" "3" " 11. kerület, Kelenföldi lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "69" "83" "3" " 1. kerület, Hegyalja út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" NA "utca, közterület" "8 m²" NA NA
"3" "23.9" "39" "1" " 8. kerület, Kiss József utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"4" "26.9" "59" "3" " 17. kerület, Akácvirág utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA
"5" "26.9" "39" "2" " 7. kerület, Nefelejcs utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "észak" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "nincs" "10 000 Ft/hó"
"6" "45.9" "71" "2" " 7. kerület, Garay tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"7" "77.3" "88" "3" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2 m²" NA NA
"8" "28.9" "51" "2" " 8. kerület, Stróbl Alajos utca " "közepes állapotú" NA "komfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA "nincs" NA
"9" "38.4" "35" "1" " 13. kerület, Vizafogó – Marinapart " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "7 m²" NA NA
"10" "44.4" "68" "2" " 7. kerület, Garay utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA "nincs" NA
"11" "34.5" "68" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"12" "61.8" "81" "2" " 13. kerület, Hollán Erno utca " "felújítandó" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"13" "26.5" "24" "1" " 9. kerület, Belso-Ferencváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "nincs" NA
"14" "26.9" "30" "1" " 13. kerület, Angyalföld " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
