"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "37.96" "39" "2" " 3. kerület, Királyok útja 291. " "jó állapotú" "2001-2010 között" "összkomfortos" "AA" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "nincs megadva" "udvari" "8.58 m²" "igen" "nem tetotéri" "nincs megadva" NA NA NA
"2" "52.9" "73" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "30 000 Ft/hó" NA NA
"3" "29.9" "36" "1" " 13. kerület, Gidófalvy Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "megújuló energia" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA
"4" "45" "65" "2" " 13. kerület, Hegedus Gyula utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "32.9" "52" "2" " 3. kerület, Hollós Korvin Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"6" "42.17" "52" "2" " 8. kerület, Kisfaludy utca " "újszeru" "2020" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"7" "25.99" "44" "1" " 13. kerület, Vizafogó – Dagály utcai lakótelep " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "77.65" "93" "3" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "2017" "luxus" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "25 000 Ft/hó" NA "van"
"9" "38.9" "47" "2" " 14. kerület, Lengyel utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "panorámás" "3.7 m²" "nincs megadva" "tetotéri" "utca, közterület - ingyenes" NA NA "van"
"10" "26.9" "30" "1" " 13. kerület, Ditrói Mór utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA NA
