"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "53.8" "73" "3" " 4. kerület, Attila utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "félemelet" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "56.9" "65" "2" " 6. kerület, Vörösmarty utca 59. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "20 500 Ft/hó" NA NA
"3" "53.5" "50" "2" " 1. kerület, Kuny Domokos utca " "újszeru" "2012" "összkomfortos" "AA" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "nyugat" "utcai" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "9 000 Ft/hó" NA NA
"4" "49.5" "66" "2" " 12. kerület, Csaba utca 16/b " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"5" "112" "102" "3" " 12. kerület, Árnyas út " "felújított" "1981-2000 között" "luxus" "AA++" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "északnyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "30 000 Ft/hó" NA NA
"6" "28.9" "39" "1" " 14. kerület, Amerikai út 76. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "2 m²" "nincs megadva" "nem tetotéri" "udvari beálló - bérelheto" NA "3 000 Ft/hó" NA
"7" "36.9" "62" "2" " 14. kerület, Szentmihályi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett"
"8" "36.7" "45" "2" " 6. kerület, Hunyadi tér " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön és egyben is" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "37 000 Ft/hó" NA NA
"9" "32.8" "51" "2" " 6. kerület, Szondi utca 44. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"10" "28.2" "35" "1" " 14. kerület, Öv utca 137. " "újszeru" "2019" "összkomfortos" "AA+" "4" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA "igen" "egy helyiségben" "nyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5 M Ft" NA
"11" "24.49" "50" "2" " 10. kerület, Lenfonó utca 2. " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett"
"12" "33.9" "36" "1" " 3. kerület, Meggyfa utca " "felújított" "1950-1980 között" "luxus" "EE" "2" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA
"13" "46.5" "93" "3" " 10. kerület, Cserkesz utca 31. " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön és egyben is" "dél" "udvari" "6 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA NA NA
"14" "64.9" "76" "2" " 7. kerület, Király utca " "felújított" "1950 elott" "komfortos" "DD" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"15" "33.5" "56" "1" " 9. kerület, Mester utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "8" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"16" "29.5" "41" "1" " 11. kerület, Bocskai út 14. " "jó állapotú" "1950 elott" "összkomfortos" "BB" "félemelet" "5" "van" "3 m vagy magasabb" "elektromos" "van" "nem" "egy helyiségben" "északkelet" "utcai" NA "igen" "nincs megadva" "utca, közterület - ingyenes" "12 000 Ft/hó" NA NA
"17" "54.2" "55" "2" " 2. kerület, Kelemen László utca 5. mfsz. 1. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "8 m²" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" NA "3.5 M Ft" NA
"18" "22.8" "47" "1" " 18. kerület, Vikár Béla utca 15. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "dél" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "20 000 Ft/hó" NA "nincs megadva"
"19" "26.99" "37" "1" " 4. kerület, Szent László tér 4. " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), egyéb kazán" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"20" "26" "35" "1" " 15. kerület, Erdokerülo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "14 000 Ft/hó" NA "részt vett"
