"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely"
"1" "17.9" "39" "1" " 20. kerület, Nagysándor József utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "37.9" "70" "3" " 11. kerület, Tétényi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "40 000 Ft/hó" "részt vett" NA
"3" "148.7" "131" "4" " 2. kerület, II/A kerület – Budaliget " "befejezetlen" NA "luxus" "nincs megadva" "1" "3" "van" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "van" NA NA "43.16 m²"
"4" "87.9" "81" "3" " 2. kerület, II/A kerület – Budaliget " "befejezetlen" NA "összkomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA "29 m²"
"5" "22.4" "43" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "4 m²"
"6" "31.5" "51" "2" " 8. kerület, Szigony utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" "nincs" "8 600 Ft/hó" "nincs megadva" "3 m²"
"7" "55.9" "89" "2" " 10. kerület, Halom utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "igen" "nincs megadva" "önálló garázs - megvásárolható" NA NA NA "13 m²"
"8" "42.65" "75" "2" " 14. kerület, Ajtósi Dürer sor " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "104.2" "101" "3" " 7. kerület, Károly körút " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA
"10" "89.99" "120" "3" " 7. kerület, Akácfa utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
