"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "36.9" "37" "1" " 11. kerület, Albertfalvai tisztviselotelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "28.9" "30" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA NA
"3" "29.99" "41" "1" " 7. kerület, Murányi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "68.5" "72" "2" " 5. kerület, Kossuth Lajos utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "109" "103" "3" " 2. kerület, Kokárda utca " "felújított" "2012" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "38 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "66.9" "102" "3" " 9. kerület, Mester utca 21. " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"7" "32.99" "37" "1" " 3. kerület, Árpád fejedelem útja " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "52.5" "55" "2" " 6. kerület, Külso-Terézváros " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "3" "van" "nincs megadva" "hoszivattyú" "igen" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "34.9" "31" "1" " 3. kerület, Vízimolnár utca 1. " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "10 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"10" "119.99" "127" "4" " 6. kerület, Lovag utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "27 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "99.9" "90" "3" " 6. kerület, Lovag utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"12" "66.9" "102" "3" " 9. kerület, Mester utca 21. " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "27.9" "34" "1" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" "6 500 Ft/hó" NA
"14" "26.99" "55" "2" " 17. kerület, Újlak utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"15" "26.9" "38" "1" " 20. kerület, Vasút sor " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
