"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "43.98" "49" "1" " 9. kerület, Pápay Park " "Pápay Park" "új építésu" "2020" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "5.59 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"2" "45.9" "50" "2" " 9. kerület, Pápay Park " "Pápay Park" "új építésu" "2020" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú, fan-coil" "van" "nincs megadva" "külön és egyben is" "délkelet" "udvari" "6.08 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"3" "37" "78" "3" " 16. kerület, Árpádföld " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"4" "58.46" "77" "2" " 9. kerület, Pápay Park " "Pápay Park" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú, fan-coil" "van" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "5.86 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"5" "27.99" "60" "2" " 18. kerület, Havanna utca " NA "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA
"6" "62.9" "85" "2" " 11. kerület, Karinthy Frigyes út " NA "jó állapotú" "1981-2000 között" "duplakomfortos" "EE" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"7" "18.3" "28" "1" " 20. kerület, Szarvas utca " NA "felújított" NA "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "30.5" "53" "2" " 16. kerület, Futórózsa utca " NA "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nem vett részt" NA
"9" "155" "111" "3" " 11. kerület, Gellérthegy " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "16 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "54" "82" "3" " 14. kerület, Thököly út " NA "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "3" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
