"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely"
"1" "22.99" "35" "1" " 17. kerület, Földmuves utca " "felújított" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "51.9" "67" "2" " 12. kerület, Táltos utca " "jó állapotú" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "van" NA
"3" "25" "28" "1" " 6. kerület, Szondi utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"4" "33" "41" "1" " 13. kerület, Visegrádi utca 83. " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "nincs" NA
"5" "26.15" "28" "1" " 7. kerület, Péterfy Sándor utca 31. " "felújított" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "20 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA "van" NA
"6" "23" "35" "1" " 15. kerület, Páskomliget utca 22. " "közepes állapotú" "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "nincs" "3 m²"
"7" "64.9" "66" "3" " 11. kerület, Rupphegyi út " "újszeru" "nincs megadva" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "2011" NA "7 m²"
"8" "40" "62" "2" " 11. kerület, Mohai út " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA
"9" "77.9" "49" "1" " 5. kerület, Falk Miksa utca " "felújított" "luxus" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA
"10" "42.9" "48" "3" " 13. kerület, Rokolya utca 34. " "újszeru" "összkomfortos" "CC" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "2001-2010 között" "nincs" "6 m²"
