"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "77.9" "80" "3" " 11. kerület, Szentimreváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"2" "79" "77" "2" " 11. kerület, Szentimreváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"3" "91.84" "91" "2.5" " 11. kerület, Budai Walzer I. ütem " "új építésu" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "Budai Walzer I. ütem" "2021" "van" "36.41 m²" "4 M Ft" NA NA
"4" "35.9" "50" "2" " 11. kerület, Kelenföldi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA "nincs megadva" NA
"5" "39.9" "75" "2.5" " 19. kerület, József Attila utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "1981-2000 között" "van" "4 m²" NA "nincs megadva" NA
"6" "39" "42" "1" " 7. kerület, Wesselényi utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA NA "18 000 Ft/hó"
"7" "63.9" "52" "2" " 8. kerület, József körút " "felújított" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950-1980 között" "nincs" "1 m²" NA NA "20 000 Ft/hó"
"8" "60.9" "66" "2" " 6. kerület, Andrássy út " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "délnyugat" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA NA NA "45 000 Ft/hó"
"9" "180" "185" "5" " 11. kerület, Gellérthegy " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "1950 elott" "van" "65 m²" "4 M Ft" NA NA
"10" "90" "117" "3" " 3. kerület, Nánási út " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2001-2010 között" NA "47 m²" NA NA NA
