"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "28.89" "68" "3" " 3. kerület, Kenyeres utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "elektromos" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"2" "69.9" "89" "2" " 6. kerület, Zichy Jeno utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"3" "34.8" "55" "3" " 14. kerület, Alsórákos " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"4" "165" "134" "4" " 3. kerület, Mátyáshegy " "felújított" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "200 m²" "5 M Ft" NA NA
"5" "54.2" "53" "2" " 3. kerület, Raktár utca " "új építésu" "összkomfortos" "AA+" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "van" "3 m²" "4 M Ft" NA NA
"6" "37.9" "46" "2" " 8. kerület, Kálvária utca " "újszeru" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2001-2010 között" "nincs" "3 m²" NA NA NA
"7" "25.19" "53" "2" " 19. kerület, Kispesti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" "4 m²" NA "nem vett részt" NA
"8" "33" "49" "2" " 11. kerület, Etele út " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "9" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" "van" "3 m²" NA "nincs megadva" NA
"9" "115" "100" "3" " 5. kerület, Pilvax köz " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA "8 000 Ft/hó"
"10" "52.9" "64" "2" " 9. kerület, Tinódi utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" "3.5 m²" NA NA NA
