"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "30" "54" "1" " 13. kerület, Váci út " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "18.9" "35" "1" " 20. kerület, Rákóczi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "északnyugat" "utcai" "igen" "nem tetotéri" "önálló garázs - bérelheto" NA NA NA NA
"3" "30" "59" "2" " 4. kerület, Árpád út " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA NA NA
"4" "28.6" "36" "1" " 13. kerület, Üteg utca 26. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "6 000 Ft/hó" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nem vett részt" "van" NA NA
"5" "92.9" "178" "5" " 8. kerület, Népszínház utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "házközponti" "50 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"6" "37.4" "35" "1" " 13. kerület, Meder utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "9" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "7.5 m²" NA
"7" "37.8" "49" "2" " 14. kerület, Nezsider park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" NA "utca, közterület - ingyenes" NA "nincs" NA NA
"8" "30.99" "52" "2" " 10. kerület, Kobánya – Óhegyi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "9 500 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA NA
"9" "25.9" "27" "1" " 3. kerület, Nánási út " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "4 m²" NA
"10" "23.9" "51" "2" " 3. kerület, Szentendrei út " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "6 m²" NA
"11" "92.22" "73" "2" " 11. kerület, Sasad " "befejezetlen" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA "15 m²" "3.3 M Ft"
"12" "34.9" "39" "1" " 12. kerület, Királyhágó tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"13" "33.9" "30" "1" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA "van" "10 m²" NA
"14" "28" "66" "3" " 20. kerület, Helsinki út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "kelet" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" NA "van" "9.2 m²" NA
"15" "44.9" "95" "3" " 8. kerület, Baross utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "43.9" "56" "3" " 7. kerület, Rottenbiller utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "33.2" "31" "1" " 11. kerület, Bartók Béla út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" NA NA "4 m²" NA
"18" "39.9" "57" "2" " 13. kerület, Fiastyúk utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "2.7 m²" NA
"19" "46.9" "43" "2" " 13. kerület, Meder utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "9" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "6 m²" NA
"20" "74.9" "86" "2" " 2. kerület, II/A kerület – Máriaremete " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nem" "nincs megadva" "udvari beálló" NA NA "110 m²" NA
