"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "40.2" "73" "2.5" " 4. kerület, Závodszky Zoltán utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "távfutés, házközponti" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "45" "73" "3" " 8. kerület, Baross utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "39.9" "48" "2" " 13. kerület, Szent László út 84. " "újszeru" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "dél" "udvari" "igen" "nem tetotéri" NA "udvari beálló - kötelezo megvenni" "2001-2010 között" "15 000 Ft/hó" "8.38 m²" "2 M Ft"
"4" "26.3" "54" "2" " 10. kerület, Állomás utca " "felújítandó" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "4 m²" NA
"5" "89.9" "97" "4" " 6. kerület, Zichy Jeno utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"6" "42.9" "62" "2" " 7. kerület, Rózsa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA NA
"7" "24" "35" "1" " 16. kerület, Lándzsa utca 17b " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "van" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "15 000 Ft/hó" NA NA
"8" "35.9" "51" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA "10 000 Ft/hó" "4 m²" NA
"9" "37.95" "43" "1" " 7. kerület, Belso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"10" "74.9" "54" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújítandó" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2015" NA "34 m²" NA
