"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara"
"1" "34.9" "49" "1" " 11. kerület, Kéro utca " "felújított" "1981-2000 között" "összkomfortos" "AA+" "földszint" "10" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "8 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA
"2" "53.5" "63" "2" " 13. kerület, Fiastyúk utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "dél" "kertre nézo" "3 m²" "nem" "nem tetotéri" NA "utca, közterület" "nincs" NA
"3" "89.9" "85" "3" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA
"4" "25.99" "50" "2" " 3. kerület, Szolo köz " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "7 000 Ft/hó" "igen" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA
"5" "62.9" "83" "2" " 2. kerület, Víziváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"6" "41.9" "73" "2.5" " 13. kerület, Keszkeno utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"7" "149" "110" "3" " 5. kerület, Kossuth Lajos tér " "felújított" "1950-1980 között" "luxus" "nincs megadva" "2" "3" "nincs" "nincs megadva" "nincs megadva" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"8" "36.5" "65" "2" " 19. kerület, Derkovits Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "C" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "20 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "udvari" NA "igen" "tetotéri" NA "önálló garázs - benne van az árban" "van" NA
"9" "41" "58" "2" " 14. kerület, Szugló utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" NA "nincs megadva" NA NA
"10" "35.9" "63" "2" " 14. kerület, Jerney utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "utcai" "7 m²" "nem" NA NA "utca, közterület - ingyenes" "van" NA
"11" "131" "130" "3" " 11. kerület, Ringló út " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "24 m²" "nem" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "van" "6 M Ft"
"12" "79.9" "94" "3" " 1. kerület, Víziváros – Váralja " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "1 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"13" "58.9" "45" "1" " 2. kerület, Fo utca 49. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "40 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"14" "36.9" "71" "2" " 4. kerület, Aradi utca 3. " "felújított" NA "nincs megadva" "CC" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "van" NA
"15" "135.38" "125" "5" " 11. kerület, Lépés utca " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "50 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "43 m²" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "van" NA
"16" "69.23" "60" "3" " 11. kerület, Lépés utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "50 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "panorámás" "15 m²" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "van" NA
"17" "49.9" "69" "3" " 13. kerület, Gogol utca 38. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" "van" NA
"18" "25.9" "39" "1" " 14. kerület, Dózsa György út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA
"19" "64" "47" "4" " 13. kerület, Szent István körút " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"20" "145" "95" "4" " 11. kerület, Lépés utca " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "50 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "panorámás" "66 m²" "nem" "penthouse" NA "udvari beálló - benne van az árban" "van" NA
