"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "115" "118" "4" " 7. kerület, Erzsébet körút 33. " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "25.5" "32" "1" " 11. kerület, Bánk bán utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "18 000 Ft/hó" NA NA NA
"3" "34.49" "71" "2" " 4. kerület, Deák Ferenc utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "félemelet" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA NA
"4" "96.36" "90" "4" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "nem" "külön és egyben is" "dél" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "27.7 m²" "2.5 M Ft"
"5" "47.9" "57" "3" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "30.9" "36" "1" " 2. kerület, Kurucles " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"7" "92.16" "87" "4" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "nem" "külön és egyben is" "dél" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "27.32 m²" "2.5 M Ft"
"8" "21" "31" "1" " 19. kerület, Pannónia út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "2 m²" NA
"9" "38.38" "42" "2" " 13. kerület, Angyalföld " "jó állapotú" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA NA "3.2 m²" NA
"10" "71.9" "94" "2" " 6. kerület, Nagymezo utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA NA NA
"11" "32.9" "43" "2" " 17. kerület, Akadémiaújtelep " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - bérelheto" "nincs" NA NA NA NA
"12" "59.9" "77" "2" " 14. kerület, Herminamezo " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "5 m²" NA
"13" "24.99" "28" "1" " 6. kerület, Szinyei Merse Pál utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "nem" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"14" "24.5" "47" "1" " 23. kerület, Soroksár " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "8 m²" NA
"15" "30.9" "52" "2" " 8. kerület, Losonci tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "részt vett" NA NA
"16" "67.49" "90" "3" " 12. kerület, Márvány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "22.5" "18" "1" " 7. kerület, Hársfa utca 63. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "12 000 Ft/hó" NA NA NA
"18" "35.7" "50" "1" " 8. kerület, József körút " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA "25 000 Ft/hó" NA NA NA
"19" "530" "323" "4" " 5. kerület, Vörösmarty tér " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "mennyezeti hutés-futés" "igen" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "penthouse" "teremgarázs hely - benne van az árban" "van" NA NA "69 m²" NA
"20" "34.9" "39" "1" " 8. kerület, Hungária körút " "újszeru" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló" "van" NA NA "2 m²" NA
