"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "56.9" "57" "2" " 6. kerület, Szív utca 61. " "nincs megadva" "2013" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "északkelet" "panorámás" "22 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "6 M Ft" NA NA
"2" "40.99" "48" "2" " 9. kerület, Gát utca 12. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
"3" "78.9" "93" "3" " 12. kerület, Orbánhegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "12 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "77.6" "61" "2" " 5. kerület, Belváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "89" "134" "5" " 15. kerület, Eötvös utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "11 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "30.9" "43" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "19.5" "27" "1" " 23. kerület, Köves út " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "dél" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"8" "32.5" "55" "2" " 3. kerület, Apát utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs megadva" NA
"9" "84.53" "101" "3" " 11. kerület, Péterhegyi út " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "20 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "57" "56" "2" " 7. kerület, Dob utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - bérelheto" NA NA NA
"11" "49.8" "73" "3" " 7. kerület, Bethlen Gábor utca 43. " "felújított" "1950 elott" "duplakomfortos" "F" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
