"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara"
"1" "26.9" "36" "1" " 13. kerület, Párkány utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m vagy magasabb" "távfutés" "nincs" "5 600 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület" NA NA
"2" "73.8" "69" "2" " 3. kerület, Mátyáshegy " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "igen" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" NA "teremgarázs hely" "18 m²" NA
"3" "25.3" "32" "1" " 14. kerület, Alsórákos " "jó állapotú" "2019" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "nem" "nincs megadva" NA "utca, közterület" "7.5 m²" NA
"4" "23.9" "35" "1" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "házközponti" "nincs" "30 000 Ft/hó" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "2 m²" NA
"5" "87.4" "101" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nincs" NA "nem" "egy helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "2.35 m²" NA
"6" "79.9" "73" "2" " 5. kerület, Apáczai Csere János utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA
"7" "29.99" "61" "2" " 15. kerület, Drégelyvár utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "3 m²" NA
"8" "133.54" "116" "4" " 6. kerület, Ó utca " "felújított" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "6 m²" NA
"9" "49.9" "44" "1" " 2. kerület, Kurucles " "újszeru" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés" NA NA "nem" "külön helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA
"10" "23.8" "36" "1" " 10. kerület, Ülloi köz " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"11" "37.99" "44" "2" " 7. kerület, Akácfa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "elektromos, gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"12" "50.9" "66" "2" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" NA "igen" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "6 m²" NA
"13" "40.5" "45" "2" " 13. kerület, Rokolya utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "9 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nincs megadva" NA "teremgarázs hely - bérelheto" "3 m²" NA
"14" "33" "39" "1" " 16. kerület, Dezsofia utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "5 m²" NA
"15" "30.9" "59" "2" " 13. kerület, Szent László út " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"16" "32.9" "37" "1" " 3. kerület, Újlak " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA
"17" "124.9" "91" "3" " 5. kerület, Balaton utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA
