"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "44" "55" "2" " 11. kerület, Móricz Zsigmond körtér " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "108.5" "80" "2" " 5. kerület, Báthory utca 8. " "felújított" "1950 elott" "összkomfortos" "GG" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "13 860 Ft/hó" NA NA
"3" "69.9" "61" "2" " 5. kerület, Lipótváros " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA "14 000 Ft/hó" NA NA
"4" "24.9" "40" "1" " 20. kerület, Kossuth Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"5" "53.9" "135" "2" " 7. kerület, Péterfy Sándor utca " "befejezetlen" NA "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "42.5" "50" "2" " 6. kerület, Izabella utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"7" "31.5" "53" "3" " 4. kerület, Újpest-Központ " "nincs megadva" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"8" "26.9" "103" "3" " 6. kerület, Belso-Terézváros " "felújítandó" "1950 elott" "komfort nélküli" "nincs megadva" "szuterén" "4" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "90" "118" "4" " 7. kerület, Akácfa utca " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "43.1" "58" "2" " 13. kerület, Angyalföld " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "2.5 M Ft"
