"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "73.5" "80" "4" " 14. kerület, Ilosvai Selymes tér " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "7.54 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3.7 M Ft" NA NA NA
"2" "30.99" "59" "2" " 22. kerület, Leányka utca " "felújított" NA "összkomfortos" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"3" "47.65" "61" "3" " 13. kerület, Angyalföld " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "6.28 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA
"4" "125.9" "91" "2" " 5. kerület, Nádor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "3.5 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "42.9" "59" "3" " 14. kerület, Törökor " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "17 000 Ft/hó" NA
"6" "41.23" "48" "2" " 6. kerület, Rózsa utca 84. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "9 500 €" NA "25 000 Ft/hó" "nincs"
"7" "44.9" "38" "2" " 8. kerület, Bródy Sándor utca " "nincs megadva" "2017" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 000 Ft/hó" "van"
"8" "28.9" "72" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" NA "van"
"9" "74.9" "70" "3" " 11. kerület, Körtevirág utca " "nincs megadva" "2019" "összkomfortos" "CC" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "15 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA "van"
"10" "37.6" "49" "2" " 11. kerület, Karinthy Frigyes út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó" "nincs"
