"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "115" "72" "3" " 2. kerület, Orsó utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "panorámás" "20 m²" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "6 M Ft" NA NA
"2" "42.8" "68" "3" " 14. kerület, Kerepesi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
"3" "34.8" "73" "3" " 17. kerület, Rákoskeresztúri lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA
"4" "39.9" "28" "1" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "17 000 Ft/hó"
"5" "54.9" "52" "2" " 2. kerület, Szemlohegy " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "36.5" "36" "1" " 9. kerület, Középso-Ferencváros " "újszeru" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "29.9" "52" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "28" "49" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "8 m²" "nincs megadva" NA "nincs megadva" NA NA NA
"9" "27.4" "57" "2" " 3. kerület, Gyuru utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
"10" "79.9" "132" "4" " 8. kerület, Józsefváros – Losoncinegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"11" "43" "80" "3" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "79.9" "116" "4" " 2. kerület, Frankel Leó út 14. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "nincs megadva" NA "nem" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"13" "25.9" "35" "1" " 15. kerület, Zsókavár utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északnyugat" "panorámás" NA "nem" "nincs megadva" "utca, közterület" NA "nincs megadva" NA
"14" "134.99" "90" "3" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "34.5" "36" "2" " 9. kerület, Márton utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "18 000 Ft/hó"
"16" "32.9" "36" "2" " 13. kerület, Frangepán utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA NA
"17" "34.5" "48" "2" " 20. kerület, Pacsirtatelep " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "dél" "udvari" "6 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"18" "28.9" "61" "3" " 21. kerület, Csepel-Erdosor lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "panorámás" NA "nem" NA "utca, közterület - ingyenes" NA NA NA
"19" "24.5" "22" "1" " 13. kerület, Vizafogó " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "67.9" "60" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "41 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
