"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "erkely" "parkolohely_ara"
"1" "31.5" "60" "2" " 7. kerület, Murányi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "20 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "39.52" "44" "2" " 13. kerület, Újlipótváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "27.3" "36" "1" " 13. kerület, Hajdú utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "9 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" "nincs megadva" NA NA
"4" "22.99" "31" "2" " 23. kerület, Soroksár – Orbánhegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "63.5" "72" "2" " 12. kerület, Böszörményi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "65" "71" "2" " 12. kerület, Németvölgy " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"7" "69.9" "74" "2" " 7. kerület, Akácfa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "14 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"8" "42.3" "49" "2" " 13. kerület, Rokolya utca " "újszeru" "2001-2010 között" "összkomfortos" "CC" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "14 600 Ft/hó" "igen" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "6 m²" NA
"9" "46.5" "49" "1" " 2. kerület, Nyék " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA NA "5 M Ft"
"10" "27.89" "58" "2" " 4. kerület, Rózsa utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" "3 m²" NA
"11" "58.92" "72" "3" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "3 m²" NA
"12" "125" "140" "4" " 12. kerület, Csillebérc " "nincs megadva" "2015" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "35 m²" NA
"13" "17.9" "34" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "12 m²" NA
"14" "65.5" "100" "4" " 14. kerület, Hungária körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "2 m²" NA
"15" "44.9" "47" "2" " 13. kerület, Teve utca " "újszeru" "2016" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "51" "68" "3" " 7. kerület, Vörösmarty utca 21. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "21 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "28.92" "43" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "9" "van" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"18" "29.9" "44" "2" " 19. kerület, Kispesti lakótelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "23.5" "72" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" "3 m²" NA
"20" "6.9" "39" "1" " 8. kerület, Asztalos Sándor út 8. " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
