"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "65" "84" "3" " 2. kerület, Országút " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "23.5" "46" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA NA
"3" "75" "145" "5" " 16. kerület, Ómátyásföld – Erzsébetliget " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "36 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "50 000 Ft/hó" "3.5 M Ft" NA
"4" "74" "86" "2" " 11. kerület, Fadrusz utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "34.9" "32" "1" " 11. kerület, Kondorosi út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "23.75" "32" "1" " 11. kerület, Fejér Lipót utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "32.9" "70" "2" " 23. kerület, Újtelep út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"8" "29.9" "37" "1" " 7. kerület, Rózsa utca 19. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "43" "47" "2" " 11. kerület, Szentimreváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "30.5" "57" "2" " 3. kerület, Hollós Korvin Lajos utca 7. " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA "nincs megadva"
