"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "46" "65" "2" " 11. kerület, Móricz Zsigmond körtér " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "71" "97" "3" " 13. kerület, Csángó utca 6/b " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "hoszivattyú" "igen" "egy helyiségben" "északkelet" "utcai" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "18 m²" NA NA NA
"3" "180" "140" "4" " 5. kerület, Semmelweis utca " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "25 000 Ft/hó" NA NA
"4" "142" "660" "16" " 20. kerület, Kossuthfalva " "közepes állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "félemelet" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "igen" "nincs megadva" "udvari beálló - benne van az árban" "nincs" "10 m²" NA NA NA
"5" "45.99" "67" "3" " 10. kerület, Ligettelek " "nincs megadva" "2019" "nincs megadva" "AA+" "1" "3" "van" "nincs megadva" "megújuló energia, hoszivattyú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "6.8 m²" NA NA NA
"6" "139" "70" "2" " 5. kerület, Kossuth Lajos tér " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA "15 000 Ft/hó" NA NA
"7" "4" "46" "1" " 14. kerület, Füredi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"8" "109" "57" "2" " 5. kerület, Apáczai Csere János utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"9" "83.2" "95" "3" " 8. kerület, Tolnai Lajos utca " "nincs megadva" NA "duplakomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "egy helyiségben" "dél" "kertre nézo" "nem" "tetotéri" "teremgarázs hely - megvásárolható" "van" "50 m²" NA NA "4.5 M Ft"
"10" "98" "148" "5" " 3. kerület, Ürömhegy " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú, megújuló energia" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" NA "10 m²" NA NA NA
"11" "112" "120" "4" " 3. kerület, Hunyadi utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "gázkazán, padlófutés" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" "van" NA "20 000 Ft/hó" NA NA
"12" "75" "100" "5" " 14. kerület, Telepes utca 64. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA "8 m²" "50 000 Ft/hó" NA NA
"13" "59.9" "83" "2" " 2. kerület, Víziváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA NA
"14" "20.9" "31" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"15" "59.99" "86" "4" " 5. kerület, Szent István körút " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "91.5" "93" "3" " 7. kerület, Kertész utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"17" "28.9" "30" "1" " 8. kerület, Rákóczi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"18" "28.9" "57" "2" " 3. kerület, Gyuru utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva" NA
"19" "89.9" "103" "4" " 9. kerület, Lónyay utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"20" "39" "47" "2" " 16. kerület, Gesztenye utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA NA
