"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "34.9" "53" "2" " 11. kerület, Gazdagréti lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délkelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "28.9" "68" "3" " 3. kerület, Kerék utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "28.4" "49" "2" " 3. kerület, Hímzo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" "van" "4.2 m²" NA NA NA
"4" "42.9" "43" "2" " 7. kerület, Jósika utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "20 000 Ft/hó" NA NA
"5" "51.9" "63" "2" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" NA "4 m²" NA NA NA
"6" "69.9" "64" "2" " 6. kerület, Zichy Jeno utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "igen" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "10 m²" NA NA NA
"7" "24.9" "41" "1" " 13. kerület, Angyalföldi út 36. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA NA
"8" "60.9" "71" "3" " 14. kerület, K62 Residence Zugló " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "11.4 m²" NA "K62 Residence Zugló" "2.5 M Ft"
"9" "30.9" "40" "1" " 13. kerület, Reitter Ferenc utca " "újszeru" "2019" "nincs megadva" "AA+" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" NA "udvari beálló - bérelheto" NA "5 m²" NA NA "10 000 Ft/hó"
"10" "39.9" "63" "3" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" NA NA "nincs megadva" "van" "7 m²" NA NA NA
