"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "129.4" "100" "5" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "32.02 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"2" "93.4" "91" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "17.18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"3" "88.4" "86" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "18.51 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"4" "99.89" "82" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "25.26 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"5" "109.8" "81" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "25.5 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"6" "82.4" "76" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "13.78 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"7" "83.1" "72" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "31.2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.4 M Ft" NA NA
"8" "66.5" "80" "3" " 13. kerület, Angyalföld – Loportárdulo " NA "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön és egyben is" "délkelet" "kertre nézo" NA "nem" "zárószint" "teremgarázs hely - megvásárolható" "3.4 M Ft" NA NA
"9" "133" "120" "4" " 6. kerület, Dózsa György út " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "49.9" "68" "2.5" " 13. kerület, Szent László út " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" NA "30 000 Ft/hó" NA
"11" "38.9" "67" "3" " 8. kerület, Századosnegyed " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "dél" "utcai" "8 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"12" "30.9" "52" "2" " 14. kerület, Nagy Lajos király útja " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva"
"13" "66" "78" "3" " 12. kerület, Németvölgy " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "28.8" "35" "1" " 8. kerület, Józsefváros – Losoncinegyed " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "36.5" "48" "2" " 16. kerület, Mátyásföld – Petofikert " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "2 m²" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"16" "42.9" "45" "1" " 6. kerület, Külso-Terézváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "73" "92" "2" " 12. kerület, Sashegy " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gázkazán" NA "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
