"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "42.5" "45" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön és egyben is" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "113.83" "99" "4" " 3. kerület, Harsánylejto " "nincs megadva" "2019" "luxus" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely" NA NA NA NA
"3" "24.9" "54" "2" " 20. kerület, Helsinki út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" NA "utca, közterület - ingyenes" NA NA NA NA
"4" "73.9" "75" "3" " 11. kerület, Csurgói út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "önálló garázs - megvásárolható" "14.9 m²" NA NA NA
"5" "107.25" "82" "4" " 3. kerület, Harsánylejto " "nincs megadva" "2019" "luxus" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"6" "23.9" "48" "2" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó" NA NA
"7" "126.36" "113" "4" " 3. kerület, Harsánylejto " "nincs megadva" "2019" "luxus" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely" NA NA NA NA
"8" "37.9" "42" "1" " 13. kerület, Fiastyúk utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA "6 500 Ft/hó" NA NA
"9" "144.18" "130" "5" " 3. kerület, Harsánylejto " "nincs megadva" "2019" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely" NA NA NA NA
"10" "19.99" "26" "1" " 18. kerület, Nemes utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" NA NA
"11" "64.99" "95" "3" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA NA
"12" "26.9" "64" "2" " 21. kerület, Nyírfa utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "5 m²" NA "nem vett részt" NA
"13" "59.9" "74" "3" " 7. kerület, Rákóczi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "6 m²" "40 000 Ft/hó" NA NA
"14" "69.9" "86" "3" " 14. kerület, Istvánmezo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 m²" NA NA "3 M Ft"
"15" "20.9" "46" "1" " 21. kerület, Árpád utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "30 000 Ft/hó" "részt vett" NA
"16" "46.07" "69" "2" " 6. kerület, Eötvös utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "18 000 Ft/hó" NA NA
"17" "24.9" "35" "1" " 15. kerület, Újpalota " "felújított" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "2.5 m²" NA "részt vett" NA
