"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"1" "62" "85" "3" " 8. kerület, Rökk Szilárd utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "24 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "34.5" "47" "1" " 6. kerület, Szinyei Merse Pál utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "189.95" "188" "5" " 1. kerület, Krisztinaváros – Naphegy " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nem" "tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"4" "84.8" "100" "4" " 8. kerület, Józsefváros – Magdolnanegyed " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "40 m²" "3.5 M Ft" NA
"5" "78.8" "97" "3" " 8. kerület, Bauer Sándor utca " "nincs megadva" "2018" "duplakomfortos" "BB" "6" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "40 m²" "3.5 M Ft" NA
"6" "53" "47" "1" " 12. kerület, Mártonhegyi út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA NA
"7" "48.5" "43" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "5 m²" NA NA
"8" "89.8" "97" "4" " 8. kerület, Józsefváros – Magdolnanegyed " "nincs megadva" "2018" "duplakomfortos" "BB" "6" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "72 m²" "3.5 M Ft" NA
"9" "43.9" "68" "3" " 14. kerület, Kassai utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "nincs" "4 m²" NA NA
"10" "45.9" "50" "2" " 9. kerület, Vaskapu utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "18 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA "10 m²" NA NA
