"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "353.6" "189" "5" " 1. kerület, Gellérthegy " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "27" "57" "2" " 21. kerület, Jupiter utca " "nincs megadva" "2016" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "3 m²" NA NA NA
"3" "84" "80" "2" " 5. kerület, Kossuth Lajos tér " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "249" "106" "2" " 5. kerület, Markó utca 1/b " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA "van" NA NA
"5" "256" "185" "4" " 5. kerület, Hold utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "van" NA NA
"6" "24.85" "52" "2" " 9. kerület, Ecseri út 31. " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"7" "82" "109" "3" " 11. kerület, Törcsvár utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
"8" "58.12" "77" "2.5" " 13. kerület, Rokolya utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "utcai" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "5 m²" NA NA NA
"9" "45.9" "46" "1" " 2. kerület, Felhévíz " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "16 000 Ft/hó" NA
"10" "36.5" "43" "2" " 8. kerület, Józsefváros – Orczynegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA
"11" "102" "65" "3" " 2. kerület, Baka utca 6. " "nincs megadva" "2020" "luxus" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön és egyben is" "délnyugat" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "1.3 m²" "van" NA "6.5 M Ft"
