"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "59.9" "114" "4" " 3. kerület, Óbuda-Óváros " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön és egyben is" "nyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "36.9" "62" "2" " 14. kerület, Szentmihályi út " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "1981-2000 között" "22 000 Ft/hó" "részt vett" NA NA
"3" "24.3" "50" "2" " 17. kerület, Pesti út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "9 000 Ft/hó" "nincs megadva" NA NA
"4" "22.9" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA "nincs megadva" "4 m²" NA
"5" "75.9" "109" "4" " 14. kerület, Alsórákos " "új építésu" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" NA "igen" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2020" NA NA "8 m²" NA
"6" "89" "105" "4" " 14. kerület, Szentes utca 41. " "új építésu" "duplakomfortos" "AA" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" "igen" "tetotéri" "udvari beálló - benne van az árban" "2020" NA NA "17 m²" NA
"7" "32.9" "51" "1" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "nincs megadva" "4 m²" NA
"8" "36.4" "49" "1" " 8. kerület, József utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "egyéb kazán" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"9" "52.9" "47" "2" " 11. kerület, Nagyszeben út " "új építésu" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "2019" "20 000 Ft/hó" NA "14 m²" NA
"10" "109.9" "113" "4" " 14. kerület, Deés utca " "új építésu" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "igen" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nincs megadva" "udvari beálló - megvásárolható" "2016" "30 000 Ft/hó" NA "20 m²" "1.5 M Ft"
"11" "42.9" "57" "2" " 12. kerület, Greguss utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"12" "108.5" "113" "4" " 13. kerület, Pannónia utca " "felújított" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m vagy magasabb" "távfutés" "van" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA "3 m²" NA
"13" "85.9" "88" "3" " 11. kerület, Rupphegyi út " "újszeru" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "kelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - bérelheto" "2011" NA NA NA NA
"14" "53" "60" "3" " 11. kerület, Sasad " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" "1950-1980 között" NA NA "23 m²" NA
"15" "90" "110" "4" " 11. kerület, Sasad " "felújított" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "van" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "önálló garázs - kötelezo megvenni" "1950-1980 között" NA NA "23 m²" "4 M Ft"
"16" "42.9" "55" "2" " 11. kerület, Sasad " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA "4 m²" NA
"17" "28" "41" "1" " 11. kerület, Rof utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "elektromos, padlófutés" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" NA NA NA NA
"18" "81.4" "99" "3" " 2. kerület, Pengo köz " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
