"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "56.32" "71" "3" " 13. kerület, Reitter Ferenc utca " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "13 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "67.9" "72" "2" " 6. kerület, Vörösmarty utca " "újszeru" "2013" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "85" "113" "3" " 13. kerület, Szent István körút " "felújított" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "54" "65" "2" " 8. kerület, Vas utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"5" "135" "70" "2" " 6. kerület, Belso-Terézváros " "újszeru" "2018" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"6" "29.9" "47" "1" " 6. kerület, Szinyei Merse Pál utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "276.2" "186" "3" " 6. kerület, Rippl-Rónai utca 2. " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "padlófutés, hoszivattyú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "van" "167 000 Ft/hó" NA NA NA
"8" "31.99" "60" "1" " 4. kerület, Venetianer utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "igen" "nem tetotéri" "udvari beálló" "nincs" NA NA NA NA
"9" "35.99" "44" "1" " 11. kerület, Budafoki út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "kertre nézo" "8 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "20 000 Ft/hó" NA NA NA
"10" "109" "94" "3" " 6. kerület, Liszt Ferenc tér " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "északkelet" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "46 000 Ft/hó" NA NA NA
"11" "31.9" "44" "2" " 14. kerület, Kerékgyártó utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA NA
"12" "29.9" "44" "1" " 14. kerület, Pétervárad utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
