"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "168" "121" "4" " 2. kerület, Törökvész út " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "panorámás" "25 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA
"2" "73.59" "68" "3" " 11. kerület, Lépés utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délkelet" "panorámás" "12 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"3" "123.4" "88" "3" " 11. kerület, Sasad " "nincs megadva" "2020" "luxus" "AA+" "földszint" "2" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "nincs megadva" "délnyugat" "panorámás" "11 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"4" "33.5" "51" "2" " 3. kerület, Madzsar József utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA
"5" "22.9" "55" "2" " 21. kerület, Szent László utca " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "5" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"6" "67.9" "123" "5" " 23. kerület, Soroksár – Orbánhegy " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "szuterén" "2" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "20 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"7" "34.5" "49" "1" " 20. kerület, Pacsirtatelep " "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "26.9" "34" "1" " 6. kerület, Szondi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "169" "148" "4" " 2. kerület, Rózsadomb " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "kelet" "nincs megadva" "37 m²" "igen" "nincs megadva" "önálló garázs - kötelezo megvenni" NA "8 M Ft"
"10" "198" "134" "4" " 11. kerület, Pösingermajor " "új építésu" "2019" "luxus" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "megújuló energia" "van" "igen" "külön helyiségben" "délkelet" "panorámás" "91 m²" "igen" "nincs megadva" "teremgarázs hely" NA NA
