"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "37.4" "72" "3" " 10. kerület, Laposdulo " "jó állapotú" "1981-2000 között" "összkomfortos" "CC" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "38 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes"
"2" "38.6" "43" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti" NA "35 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"3" "26.2" "28" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet"
"4" "39.8" "59" "2" " 13. kerület, Fiastyúk utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület"
"5" "31.89" "51" "1" " 7. kerület, Garay utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet"
"6" "29.5" "30" "1" " 9. kerület, Zsil utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"7" "26" "65" "2" " 10. kerület, Harmat utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "10 m²" "nincs megadva" NA NA "nincs megadva"
"8" "135" "70" "2" " 6. kerület, Jókai utca " "újszeru" "2018" "luxus" "BB" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "50 000 Ft/hó" "nem" "külön és egyben is" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"9" "30.5" "57" "2" " 10. kerület, Zsombék utca 42. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes"
"10" "16.9" "38" "1" " 10. kerület, Laposdulo " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület"
"11" "28.9" "46" "2" " 19. kerület, Wekerletelep " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "35 000 Ft/hó" "igen" "egy helyiségben" "délkelet" "utcai" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes"
"12" "26.2" "53" "2" " 19. kerület, Kispesti lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "20 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "kertre nézo" "5 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes"
"13" "83" "120" "4" " 14. kerület, Rákosfalva " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "18 000 Ft/hó" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "11 m²" "nem" "tetotéri" NA "önálló garázs - megvásárolható"
"14" "25.9" "35" "1" " 14. kerület, Czobor utca 60B " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "11 900 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes"
"15" "85" "113" "4" " 9. kerület, Mester utca 53-55 " "felújított" NA "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"16" "57" "59" "2" " 9. kerület, Tompa utca 7. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "dél" "udvari" "6 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható"
"17" "41.8" "47" "1" " 2. kerület, Keleti Károly utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "70 m²" "nincs megadva" "nincs megadva" NA "nincs megadva"
"18" "50" "78" "3" " 14. kerület, Cserei utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "12 760 Ft/hó" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" NA "udvari beálló - benne van az árban"
"19" "31.9" "52" "2" " 13. kerület, Váci út 159/A " "jó állapotú" "1950 elott" "összkomfortos" "GG" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nem" "egy helyiségben" "kelet" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet"
