"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "84" "83" "2" " 12. kerület, Mátyás király út " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs" "nincs megadva" "külön és egyben is" "északkelet" "nincs megadva" "20 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"2" "41.9" "43" "2" " 6. kerület, Csengery utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "49.8" "72" "2" " 9. kerület, Lenhossék utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA
"4" "26.5" "37" "1" " 14. kerület, Balázs utca " "felújított" "1950-1980 között" "összkomfortos" "CC" "félemelet" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "35 000 Ft/hó" NA NA
"5" "89.9" "136" "4" " 11. kerület, Szentimreváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "panorámás" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "6 000 Ft/hó" NA
"6" "49.9" "75" "2" " 7. kerület, Izabella utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"7" "19" "27" "1" " 8. kerület, Dugonics utca 15. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA NA
"8" "71.9" "88" "3" " 8. kerület, József körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nincs megadva" "nincs megadva" NA NA NA
"9" "40" "76" "3" " 21. kerület, Krizantém utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"10" "28.9" "53" "2" " 19. kerület, Petofi utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "12 500 Ft/hó" NA "részt vett"
"11" "23.5" "53" "2" " 18. kerület, Havanna-lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "nincs megadva" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
"12" "60" "79" "3" " 7. kerület, Murányi utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "39.9" "43" "2" " 7. kerület, Akácfa utca " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"14" "27" "51" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett"
"15" "29.9" "56" "2" " 15. kerület, Régi Fóti út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "38 000 Ft/hó" NA "nincs megadva"
"16" "29.89" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"17" "27.99" "54" "2" " 4. kerület, Laborfalvi Róza utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nem vett részt"
"18" "117" "130" "4" " 11. kerület, Sasad " "újszeru" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "udvari" "24 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "20 000 Ft/hó" NA NA
"19" "79.9" "94" "3" " 1. kerület, Víziváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" "50 000 Ft/hó" NA NA
"20" "27.5" "57" "2" " 3. kerület, Jendrassik György utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva"
