"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "erkely"
"1" "27" "43" "1" " 18. kerület, Építo utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "28.5" "55" "2" " 15. kerület, Kossuth utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "nincs megadva" NA NA
"3" "30.9" "57" "2" " 9. kerület, József Attila lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs megadva" "nincs" "3 m²"
"4" "15.5" "28" "1" " 4. kerület, Újpest-Központ " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "39.9" "54" "1" " 11. kerület, Petzvál József utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "71.88" "78" "3" " 13. kerület, Frangepán utca " "nincs megadva" "komfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely" "2019" NA NA "31 m²"
"7" "26.3" "51" "2" " 17. kerület, Újlak utca " "felújítandó" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "részt vett" "nincs" "4 m²"
"8" "29.9" "59" "2" " 19. kerület, Jáhn Ferenc utca 3. " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nem vett részt" NA NA
"9" "62.48" "77" "3" " 13. kerület, Frangepán utca " "nincs megadva" "komfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "18.16 m²"
"10" "33.9" "39" "1" " 7. kerület, Rózsa utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "nincs" NA
