"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "127.9" "116" "3" " 9. kerület, Boráros tér " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "panorámás" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "129.9" "102" "2" " 13. kerület, Vizafogó-lakótelep " "újszeru" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "20 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "94" "102" "3" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "34.9" "58" "2" " 13. kerület, Dagály utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" NA "utca, közterület" "van" NA NA
"5" "58" "58" "2" " 9. kerület, Vágóhíd utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "egy helyiségben" "kelet" "kertre nézo" "13.27 m²" "nem" "nem tetotéri" "nincs megadva" "van" NA NA
"6" "150" "80" "2" " 5. kerület, Markó utca " "felújított" NA "luxus" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "van" "30 000 Ft/hó" NA
"7" "64.89" "68" "2" " 12. kerület, Krisztinaváros – Városmajor " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" "nincs" NA NA
"8" "45" "45" "2" " 9. kerület, Vágóhíd utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "egy helyiségben" "nyugat" "kertre nézo" "18.8 m²" "nem" "nem tetotéri" "nincs megadva" "van" NA NA
"9" "21.5" "36" "1" " 10. kerület, Kobánya – Újhegy " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA NA "részt vett"
"10" "127.9" "116" "4" " 9. kerület, Boráros tér " "újszeru" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
