"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "22.5" "32" "1" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "20 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"2" "26.5" "50" "1" " 4. kerület, Istvántelki út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "kelet" "utcai" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"3" "29.9" "71" "3" " 4. kerület, Rózsa utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" "nem vett részt" NA NA
"4" "54.9" "52" "2" " 2. kerület, Újlak " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nem" "nincs megadva" "nincs megadva" NA "40 000 Ft/hó" NA NA NA
"5" "29.9" "51" "2" " 8. kerület, Szigony utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "nem vett részt" NA NA
"6" "21.9" "18" "1" " 7. kerület, Király utca 67. " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "egyéb kazán" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "41.9" "55" "1" " 13. kerület, Petneházy utca 70. " "újszeru" "2011" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "utcai" "12 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" "25 000 Ft/hó" NA NA NA
"8" "24.4" "52" "2" " 19. kerület, Jáhn Ferenc utca 5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"9" "25.2" "53" "2" " 19. kerület, Zrínyi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA NA
"10" "29.9" "26" "1" " 7. kerület, IN Budapest " "új építésu" "2020" "luxus" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "IN Budapest" "6 M Ft"
"11" "85" "85" "3" " 3. kerület, Óbuda-Óváros " "nincs megadva" "2019" "összkomfortos" "AA+" "2" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön helyiségben" "dél" "kertre nézo" "4.28 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA NA NA "4 M Ft"
"12" "27.8" "41" "1" " 13. kerület, Gyöngyösi utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"13" "26.49" "25" "2" " 7. kerület, Cserhát utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó" NA NA NA
"14" "66.99" "71" "2" " 2. kerület, Felso Zöldmáli út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "45 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA NA NA "6 M Ft"
"15" "69.9" "90" "2" " 7. kerület, Rózsák tere " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"16" "63.9" "80" "3" " 14. kerület, Amerikai út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "34.98" "48" "2" " 11. kerület, Szentimreváros " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" "3.2 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"18" "61.9" "77" "2" " 2. kerület, Mechwart liget " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"19" "68.9" "129" "3" " 7. kerület, Hársfa utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "18 000 Ft/hó" NA NA NA
"20" "69.9" "75" "3" " 5. kerület, Szent István körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
