"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"1" "84.9" "130" "3" " 6. kerület, Vörösmarty utca " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "57 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "170" "87" "3" " 5. kerület, Október 6. utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "67.9" "81" "3" " 13. kerület, Frangepán utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "nincs" "13 m²" "3.6 M Ft" NA
"4" "99.5" "135" "2.5" " 7. kerület, Csengery utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"5" "23.5" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3.5 m²" NA "nincs megadva"
"6" "59" "74" "3" " 13. kerület, Frangepán utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA "7 m²" "3.6 M Ft" NA
"7" "46.9" "78" "2" " 8. kerület, Dugonics utca 2. " "újszeru" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" "19 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2001-2010 között" "nincs" "3 m²" "2.5 M Ft" NA
"8" "117" "116" "4" " 13. kerület, Frangepán utca " "nincs megadva" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "nincs" "70 m²" "3.6 M Ft" NA
"9" "85" "118" "4" " 6. kerület, Teréz körút " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA NA
"10" "94.87" "107" "3" " 3. kerület, Hármashatárhegy " "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" NA "54 m²" NA NA
