"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "44" "49" "2" " 14. kerület, Alsórákos – Paskálpark " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "4 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA
"2" "76" "71" "3" " 5. kerület, Lipótváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"3" "16.9" "35" "1" " 20. kerület, Erzsébetfalva " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "kertre nézo" "10 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA
"4" "44.99" "60" "3" " 20. kerület, Közmuhelytelep utca " "felújított" "2016" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "15 m²" "igen" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA
"5" "21.9" "44" "1" " 19. kerület, Kispest " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA
"6" "31.8" "50" "1" " 14. kerület, Törökor " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gázkazán" "nem" "nincs megadva" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"7" "27.9" "20" "1" " 7. kerület, Dob utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "23.49" "47" "2" " 20. kerület, Erzsébetfalva " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "1 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA
"9" "49.9" "92" "4" " 10. kerület, Gergely utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "udvari" NA "nem" "tetotéri" "önálló garázs - megvásárolható" NA NA NA
"10" "27.9" "27" "1" " 7. kerület, Hársfa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "39.1" "48" "2" " 11. kerület, Kelenföld " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA
"12" "32.9" "37" "1" " 7. kerület, Hernád utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "10 000 Ft/hó" NA
