"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"11" "209.9" "92" "2" " 6. kerület, Andrássy út " "nincs megadva" "2019" "luxus" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "nincs megadva" "van" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "tetotéri" "utca, közterület" "8.75 m²" NA NA NA
"12" "84.9" "91" "3" " 13. kerület, Kresz Géza utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "24.2" "45" "2" " 10. kerület, Harmat köz " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2 m²" "13 000 Ft/hó" NA NA
"14" "179" "235" "4" " 11. kerület, Bornemissza utca " "nincs megadva" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "igen" "nincs megadva" "udvari beálló" NA NA NA NA
"15" "52" "48" "1" " 12. kerület, Tartsay Vilmos utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" NA NA NA
"16" "27.9" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"17" "155" "111" "3" " 11. kerület, Gellérthegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "16 m²" NA NA NA
"18" "23.9" "28" "1" " 3. kerület, Kaszásdulo utca 3. " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nem vett részt"
"19" "61.9" "61" "2" " 14. kerület, Turán utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" "10 m²" NA NA NA
"20" "43.7" "73" "3" " 14. kerület, Herminamezo " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
