"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram" "lakopark_neve"
"1" "26" "32" "1" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "összkomfortos" "CC" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "25 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "49.99" "45" "1" " 13. kerület, Petneház Társasház " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - megvásárolható" "10.85 m²" "4.25 M Ft" NA NA
"3" "24.6" "49" "2" " 3. kerület, Boglár utca " "felújítandó" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" NA "nincs megadva" NA
"4" "25.49" "54" "2" " 4. kerület, Szigeti József utca " "felújítandó" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA "nem vett részt" NA
"5" "72.79" "65" "3" " 11. kerület, Mikes Kelemen utca 30-38. " "új építésu" "2021" "összkomfortos" "BB" "1" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" NA "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "10.74 m²" "4.99 M Ft" NA NA
"6" "42.9" "62" "2" " 8. kerület, József körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "12 500 Ft/hó" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "92.9" "75" "3" " 3. kerület, Harsánylejto Lakópark " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "53 m²" "3.8 M Ft" NA "Harsánylejto Lakópark"
"8" "32.5" "43" "1" " 13. kerület, Angyalföld " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "8" "8" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "12 500 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"9" "49.1" "65" "3" " 4. kerület, Újpest " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "3 m²" NA NA NA
"10" "29.99" "29" "1" " 7. kerület, Kazinczy utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "igen" "egy helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
