"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "49" "51" "2" " 13. kerület, Úszódaru utca " "újszeru" "2011" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "utcai" "11 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "39.9" "69" "3" " 17. kerület, Pesti út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "házközponti egyedi méréssel, távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nincs megadva" NA NA
"3" "29.8" "48" "2" " 15. kerület, Mozdonyvezeto utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "30 000 Ft/hó" NA
"4" "27.6" "51" "2" " 21. kerület, Béke tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "35 000 Ft/hó" NA
"5" "94.87" "120" "4" " 6. kerület, Benczúr utca " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "73" "63" "2" " 2. kerület, Bimbó út 164. " "felújított" NA "luxus" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "udvari beálló" "van" NA NA NA
"7" "41" "52" "2" " 13. kerület, Szent László út " "újszeru" "2001-2010 között" "összkomfortos" "CC" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "udvari" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "11 000 Ft/hó" "3 M Ft"
"8" "36.2" "62" "2" " 3. kerület, Juhász Gyula utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "részt vett" NA NA
"9" "34" "48" "2" " 11. kerület, Sáfrány utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"10" "56" "53" "2" " 2. kerület, Lepke utca 34. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"11" "110" "140" "5" " 2. kerület, Országút " "jó állapotú" NA "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "21.9" "37" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"13" "31.9" "46" "2" " 20. kerület, Baross utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"14" "21.5" "35" "1" " 21. kerület, Dunadulo út 3. " "jó állapotú" NA "nincs megadva" "FF" "3" "10" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"15" "12.8" "17" "1" " 4. kerület, Attila utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
