"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "39.9" "52" "3" " 11. kerület, Rátz László utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "29.99" "72" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "4 m²" NA NA NA
"3" "44.99" "54" "2" " 11. kerület, Lágymányos " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "5 m²" NA NA NA
"4" "59.9" "65" "2" " 6. kerület, Zichy Jeno utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "3 m²" NA NA NA
"5" "19.8" "35" "2" " 18. kerület, Havanna-lakótelep " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA NA
"6" "24.8" "29" "1" " 7. kerület, Izabella utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"7" "74.9" "83" "3" " 1. kerület, Alagút utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "van" "40 000 Ft/hó" NA
"8" "56.9" "83" "2" " 7. kerület, Kertész utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "3.6 m²" "nincs" NA NA
"9" "64.9" "60" "2" " 5. kerület, Honvéd utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"10" "28.9" "33" "1" " 7. kerület, Dózsa György út " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), egyéb" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "van" NA NA
