"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "42.48" "71" "2" " 14. kerület, Istvánmezo " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"2" "259" "230" "4" " 2. kerület, Völgy utca 15. " "nincs megadva" "2019" "luxus" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m vagy magasabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "igen" "nincs megadva" "önálló garázs - benne van az árban" "52 m²" NA NA
"3" "10.9" "36" "1" " 14. kerület, Gizella út " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"4" "34.99" "90" "4" " 18. kerület, Krepuska Géza-telep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"5" "39.9" "43" "2" " 7. kerület, Akácfa utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"6" "48.5" "58" "2" " 11. kerület, Baranyai tér 8. " "felújított" NA "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA
"7" "75.7" "105" "2" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" NA "27 260 Ft/hó" NA
"8" "18.3" "24" "1" " 8. kerület, Józsefváros – Ganznegyed " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "82.98" "100" "3" " 3. kerület, Pusztakúti út " "nincs megadva" "2017" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "75 m²" NA NA
"10" "53" "47" "1" " 12. kerület, Mártonhegyi út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA
