"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "30.99" "41" "1" " 14. kerület, Herminamezo " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "27.7" "85" "1" " 14. kerület, Alsórákos " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
"3" "53.9" "61" "2" " 12. kerület, Alkotás utca 15. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA
"4" "36.5" "40" "1" " 11. kerület, Szent Gellért tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "elektromos" "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"5" "34.9" "48" "2" " 8. kerület, Kálvária tér " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "75" "78" "2" " 7. kerület, Wesselényi utca " "felújított" "2012" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA NA
"7" "23.9" "28" "1" " 14. kerület, Mogyoródi út 89/b " "felújított" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "10 000 Ft/hó" NA
"8" "99.9" "75" "3" " 2. kerület, Margit körút " "felújítandó" NA "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "panorámás" "33 m²" "nem" "tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"9" "81.9" "68" "4" " 5. kerület, Semmelweis utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"10" "81.9" "68" "4" " 5. kerület, Semmelweis utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
