"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg"
"1" "46" "72" "3" " 11. kerület, Bükköny utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület" NA
"2" "92" "79" "3" " 1. kerület, Toldy Ferenc utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "padlófutés" "van" "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" NA
"3" "27.4" "52" "2" " 3. kerület, Szolo utca " "felújítandó" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "részt vett" "nincs megadva" NA
"4" "25.5" "36" "1" " 4. kerület, Kassai utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "nincs megadva" "nincs megadva" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "8 000 Ft/hó"
"5" "19.5" "22" "1" " 14. kerület, Hungária körút " "jó állapotú" NA "nincs megadva" "nincs megadva" "szuterén" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" NA "utca, közterület - fizetos övezet" "20 000 Ft/hó"
"6" "74.9" "76" "2" " 1. kerület, Attila út 23. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "észak" "kertre nézo" "11 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület" "10 000 Ft/hó"
"7" "52" "63" "1" " 3. kerület, Flórián tér 4-5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "30 000 Ft/hó"
"8" "19.9" "26" "1" " 4. kerület, Tomori utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "9 850 Ft/hó"
"9" "56" "52" "2" " 11. kerület, Karinthy Frigyes út " "felújított" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"10" "28" "36" "1" " 8. kerület, Baross utca 66-68 " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA
