"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "epites_eve" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "41.8" "36" "1" " 5. kerület, Honvéd tér " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "46.7" "58" "2" " 13. kerület, Kádár utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "nincs megadva" "10 m²" NA NA NA NA NA
"3" "25.9" "33" "1" " 4. kerület, Lakkozó utca 22. " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1981-2000 között" "12 000 Ft/hó" "részt vett" NA NA
"4" "31.5" "30" "1" " 13. kerület, Visegrádi utca " "felújított" "összkomfortos" "AA+" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" NA NA NA NA
"5" "36.4" "57" "2" " 13. kerület, Tahi utca " "közepes állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" "1950-1980 között" NA NA NA NA
"6" "23.75" "32" "1" " 11. kerület, Sárbogárdi út 20. " "jó állapotú" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "21 000 Ft/hó" NA "van" NA
"7" "31.9" "40" "1" " 14. kerület, Alsórákos " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2001-2010 között" NA NA NA NA
"8" "20.5" "27" "1" " 2. kerület, Házmán utca " "közepes állapotú" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "udvari beálló" NA "1950 elott" "11 000 Ft/hó" NA "nincs" NA
"9" "55.9" "59" "2" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "udvari beálló - bérelheto" NA "2011" NA NA "van" "5 000 Ft/hó"
"10" "74.9" "108" "4" " 13. kerület, Balzac utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "3 m²" "1950 elott" "16 690 Ft/hó" NA "nincs" NA
"11" "89.9" "101" "4" " 12. kerület, Krisztinaváros – Városmajor " "felújított" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"12" "65" "89" "3" " 2. kerület, Felhévíz " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA NA
"13" "29.9" "34" "1" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "1950-1980 között" "25 000 Ft/hó" "nincs megadva" "van" NA
"14" "22.9" "35" "1" " 8. kerület, Józsefváros – Ganznegyed " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" "1950 elott" NA NA NA NA
"15" "32.5" "35" "2" " 7. kerület, István utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"16" "28" "58" "2" " 10. kerület, Gyárduloi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "1950-1980 között" NA "részt vett" "nincs" NA
"17" "119" "91" "4" " 12. kerület, Zsolna utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "16 m²" NA "20 000 Ft/hó" NA NA NA
"18" "44.9" "62" "2" " 8. kerület, Orczy tér 4. " "újszeru" "összkomfortos" "AA" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "6 m²" "2001-2010 között" "15 000 Ft/hó" NA "nincs" "12 000 Ft/hó"
"19" "48" "54" "2" " 7. kerület, Rákóczi út " "felújított" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA "van" NA
"20" "14.5" "24" "1" " 8. kerület, Diószegi Sámuel utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
