"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "lakopark_neve"
"1" "25.99" "56" "2" " 14. kerület, Herminamezo " "felújítandó" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"2" "20.7" "31" "1" " 3. kerület, Szindbád utca " "felújítandó" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "6 m²" "nincs megadva" NA NA NA NA
"3" "50.75" "75" "3" " 13. kerület, Szent László út " "új építésu" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA "nincs" "3.8 M Ft" NA NA
"4" "62.5" "65" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA NA
"5" "195.9" "138" "4" " 11. kerület, Péterhegy " "új építésu" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2018" "153 m²" NA "van" "4 M Ft" NA NA
"6" "44.9" "53" "2" " 7. kerület, Rózsák tere " "felújított" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "3.5 m²" NA NA NA "25 000 Ft/hó" NA
"7" "69.89" "76" "3" " 5. kerület, Nádor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"8" "111.61" "86" "3" " 13. kerület, Kassák Passage " "új építésu" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2022" "59.3 m²" NA NA "3.49 M Ft" NA "Kassák Passage"
"9" "104.9" "99" "3" " 1. kerület, Víziváros – Váralja " "felújított" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "2 m²" NA "van" NA "32 000 Ft/hó" NA
"10" "24.9" "48" "2" " 10. kerület, Harmat utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nem" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA NA NA NA
"11" "66" "89" "4" " 14. kerület, Várna utca " "újszeru" "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "2001-2010 között" "7 m²" NA NA NA NA NA
"12" "29" "26" "1" " 7. kerület, Kazinczy utca " "nincs megadva" "komfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA "20 000 Ft/hó" NA
"13" "53.9" "56" "2" " 3. kerület, Kocsis Sándor út " "új építésu" "összkomfortos" "AA+" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, mennyezeti hutés-futés" "igen" "külön helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" "udvari beálló - kötelezo megvenni" "2018" "18 m²" NA "van" "2.5 M Ft" NA NA
"14" "187.98" "154" "4" " 11. kerület, Sasad " "új építésu" "luxus" "AA+" "1" "3" "van" "nincs megadva" "megújuló energia, mennyezeti hutés-futés" "igen" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely" "2020" "54 m²" NA "van" NA NA NA
"15" "29.35" "41" "2" " 19. kerület, Zoltán utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "3 m²" NA "nincs" NA NA NA
"16" "84.9" "60" "1" " 3. kerület, Erdoalja út 85. " "új építésu" "összkomfortos" "nincs megadva" "1" "2" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "18 m²" NA "van" "5.3 M Ft" NA NA
"17" "49.9" "69" "3" " 19. kerület, Teleki utca " "új építésu" "duplakomfortos" "AA" "3" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2019" "19.21 m²" NA NA "1.8 M Ft" NA NA
"18" "77.15" "77" "3" " 11. kerület, Madárhegy " "új építésu" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "megújuló energia" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" "2019" "50 m²" NA NA NA NA NA
"19" "41.9" "50" "2" " 6. kerület, Jókai utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"20" "140" "135" "4" " 7. kerület, Erzsébet körút " "felújított" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA NA
