"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "29" "54" "2" " 15. kerület, Zsókavár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "29.9" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "egyéb" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "21.2" "36" "1" " 18. kerület, Liptáktelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA NA
"4" "16.9" "23" "1" " 18. kerület, Szemeretelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA NA
"5" "46.9" "110" "3" " 18. kerület, Bókaytelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"6" "61.9" "86" "3" " 14. kerület, Róna utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "kertre nézo" "14 m²" "nem" "legfelso emelet, nem tetotéri" NA "udvari beálló - bérelheto" NA "14 700 Ft/hó" "800 Ft/hó"
"7" "46.6" "50" "2" " 7. kerület, Akácfa utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "fan-coil" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "van" NA NA
"8" "229.9" "191" "6" " 5. kerület, Vadász utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA
"9" "58.9" "85" "2" " 11. kerület, Budafoki út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "utcai" "7 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"10" "77.7" "90" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"11" "11.9" "11" "1" " 11. kerület, Kanizsai utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "igen" "nincs megadva" NA "nincs megadva" NA "2 000 Ft/hó" NA
"12" "69.9" "89" "2" " 2. kerület, Margit körút " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA
"13" "38.8" "33" "1" " 1. kerület, Fo utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "észak" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület" "van" "8 000 Ft/hó" NA
"14" "25.9" "50" "2" " 15. kerület, Alkotmány utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA
"15" "30.49" "58" "2" " 13. kerület, Angyalföld " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA NA
"16" "56.9" "67" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"17" "46.9" "53" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"18" "46.9" "43" "3" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "nincs" NA NA
