"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "35.9" "52" "1" " 6. kerület, Szív utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "cserépkályha, elektromos" "nincs" "25 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "42.4" "53" "2" " 11. kerület, Albertfalva " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5.22 m²" "részt vett"
"3" "62.9" "84" "2" " 1. kerület, Attila út " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"4" "86" "67" "3" " 5. kerület, Semmelweis utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "18.5" "52" "1" " 8. kerület, Reguly Antal utca " "felújítandó" NA "összkomfortos" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "30.2" "39" "1" " 13. kerület, Visegrádi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "15 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"7" "83.9" "79" "3" " 5. kerület, Arany János utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "37.5" "84" "2" " 10. kerület, Állomás utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "27.9" "43" "2" " 7. kerület, Nefelejcs utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"10" "70.9" "87" "3" " 14. kerület, Alsórákos " "újszeru" "2011" "luxus" "AA+" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "11 m²" NA
"11" "69.5" "72" "3" " 7. kerület, Garay utca " "felújított" NA "luxus" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "15 000 Ft/hó" "nem" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2.4 m²" NA
"12" "23.9" "50" "2" " 3. kerület, Kabar utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "10" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "nem vett részt"
"13" "129" "108" "3" " 7. kerület, Százház utca " "nincs megadva" "2001-2010 között" "duplakomfortos" "nincs megadva" "7" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "igen" "penthouse" "utca, közterület" "110 m²" NA
"14" "26.4" "53" "1" " 10. kerület, Maglódi út 75. " "felújítandó" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA
"15" "27" "60" "2" " 20. kerület, Vízisport utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA
"16" "68" "76" "3" " 13. kerület, Szent István park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "7 m²" NA
"17" "70" "111" "3" " 7. kerület, Rózsa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "cserépkályha" "nincs" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA
"18" "37" "45" "1" " 11. kerület, Bükköny utca 28. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "23 000 Ft/hó" "igen" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva"
"19" "69.9" "124" "3" " 6. kerület, Podmaniczky utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "cserépkályha" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"20" "25.5" "48" "1" " 20. kerület, Török Flóris utca " "újszeru" NA "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "északkelet" "panorámás" "nincs megadva" NA "utca, közterület" "7 m²" NA
