"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "52.56" "50" "2" " 11. kerület, Péterhegy " "újszeru" "2018" "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "9.89 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA NA
"2" "86.59" "91" "4" " 11. kerület, Péterhegy " "újszeru" "2018" "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "nincs megadva" "25.89 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" "van" NA NA
"3" "63.81" "66" "3" " 11. kerület, Péterhegy " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "2" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "15.32 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" "van" NA NA
"4" "67.9" "115" "4" " 10. kerület, Kobánya – Óhegy " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "önálló garázs" NA NA NA NA
"5" "94.73" "84" "2" " 7. kerület, Középso-Erzsébetváros " "újszeru" "2018" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "89" "84" "2" " 7. kerület, Középso-Erzsébetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "102.9" "71" "3" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "22.4" "35" "1" " 20. kerület, Téglagyár tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "6 300 Ft/hó" NA
"9" "32.7" "56" "3" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA "van" NA NA
"10" "28.49" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA "nincs megadva"
"11" "59.9" "78" "2" " 6. kerület, Székely Mihály utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"12" "66.9" "79" "3" " 13. kerület, Kárpát utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "3.7 m²" "nem" "nincs megadva" "nincs megadva" NA "nincs" "10 000 Ft/hó" NA
"13" "19.9" "22" "1" " 10. kerület, Liget utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "28.4" "34" "2.5" " 8. kerület, József körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "20 000 Ft/hó" NA
"15" "31.9" "51" "2" " 9. kerület, Dési Huber utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "nincs" "25 000 Ft/hó" NA
"16" "53.88" "75" "3" " 11. kerület, Kelenföld " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nincs megadva" NA "nincs megadva" NA NA NA NA
"17" "34.5" "32" "1" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "4 m²" "nincs megadva" NA "nincs megadva" NA NA NA NA
"18" "29.99" "49" "2" " 11. kerület, Kelenföld " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "részt vett"
"19" "39.89" "65" "3" " 11. kerület, Kelenföldi lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "részt vett"
"20" "25.7" "65" "2" " 15. kerület, Korakás park 36 9. emelet " "felújítandó" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nem vett részt"
