"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "lakopark_neve"
"11" "89.9" "110" "4" " 13. kerület, Frangepán utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "nyugat" "panorámás" "80 m²" "nem" "tetotéri" "utca, közterület" NA NA NA
"12" "64.99" "89" "4" " 4. kerület, József Attila utca 94-100 " "új építésu" "2019" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "északnyugat" "utcai" "33.34 m²" "igen" "nem tetotéri" "teremgarázs hely - bérelheto" NA "20 000 Ft/hó" NA
"13" "82.29" "77" "3" " 13. kerület, Pannónia Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "kelet" "nincs megadva" "8.43 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "Pannónia Ház"
"14" "81.9" "78" "3" " 13. kerület, Pannónia Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "dél" "nincs megadva" "13.68 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "Pannónia Ház"
"15" "28.5" "39" "1" " 14. kerület, Öv utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" NA "nem" "egy helyiségben" "délnyugat" "kertre nézo" "18 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"16" "43.99" "45" "2" " 8. kerület, BRSS106 " "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "dél" "utcai" "3.67 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4.7 M Ft" "BRSS106"
"17" "87.89" "75" "3" " 13. kerület, Pannónia Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "dél" "nincs megadva" "8.5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "Pannónia Ház"
"18" "43.8" "47" "2" " 13. kerület, Zsinór utca 39. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "8.17 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "3 M Ft" NA
"19" "47.96" "43" "2" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "egy helyiségben" "kelet" "kertre nézo" "7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "3.5 M Ft" "Sasad Resort Hilltop by Cordia"
"20" "67.8" "60" "2" " 13. kerület, Pannónia Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "észak" "nincs megadva" "10.45 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "Pannónia Ház"
