"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"11" "45.9" "84" "3" " 8. kerület, Józsefváros – Corvinnegyed " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"12" "36.5" "49" "2" " 14. kerület, Limanova tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA "10 000 Ft/hó"
"13" "47.8" "43" "2" " 8. kerület, Corvin sétány " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "kertre nézo" "30.17 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "59" "95" "3" " 8. kerület, Nap utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "59.35" "70" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "14 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "32" "63" "3" " 4. kerület, Ugró Gyula sor " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "7.3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA
"17" "27.5" "32" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "45" "81" "2" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "40 000 Ft/hó"
"19" "36.9" "43" "2" " 7. kerület, Akácfa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "kelet" "udvari" NA "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"20" "44.3" "59" "2" " 12. kerület, Királyhágó utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (konvektor)" "igen" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
