"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "27.49" "44" "1" " 18. kerület, Kinizsi Pál utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA
"2" "59.9" "83" "2" " 2. kerület, Varsányi Irén utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "36" "63" "2" " 11. kerület, Andor utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA
"4" "73" "64" "2" " 6. kerület, Király utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "35 000 Ft/hó"
"5" "49.99" "90" "2" " 13. kerület, Üteg utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "1 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA "37 000 Ft/hó"
"6" "45.9" "67" "2" " 13. kerület, Újlipótváros – Rómaikert " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "20.9" "60" "3" " 20. kerület, Erdo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "43.9" "55" "2" " 11. kerület, Petzvál József utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "nincs megadva" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "udvari beálló" NA NA
"9" "26.8" "36" "1" " 14. kerület, Gyarmat utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"10" "27.9" "36" "1" " 10. kerület, Gyakorló utca " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "nincs megadva" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nem vett részt" "25 000 Ft/hó"
