"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "erkely" "panelprogram"
"1" "34.9" "31" "1" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "85" "97" "3" " 6. kerület, Zichy Jeno utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA NA
"3" "34" "51" "2" " 8. kerület, Kiss József utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "10 000 Ft/hó" "van" NA NA
"4" "160" "157" "4" " 11. kerület, Móricz Zsigmond körtér " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "5" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "64.9" "62" "2" " 6. kerület, Ó utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "90" "100" "3" " 6. kerület, Lovag utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "101.47" "80" "3" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²" NA
"8" "39" "77" "3" " 10. kerület, Laposdulo " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "60 000 Ft/hó" "nincs" "2.3 m²" NA
"9" "69.9" "95" "4" " 9. kerület, Kinizsi utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "45 000 Ft/hó" NA NA NA
"10" "117" "149" "7" " 8. kerület, Szentkirályi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nem" "nincs megadva" "nincs megadva" "60 000 Ft/hó" NA NA NA
