"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "43.9" "52" "2" " 12. kerület, Virányos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "5.2 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "30.99" "30" "1" " 6. kerület, Szív utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"3" "34.7" "32" "1" " 7. kerület, Baross tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "71.9" "88" "4" " 7. kerület, Rottenbiller utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"5" "109.56" "99" "3" " 3. kerület, Harsánylejto " "befejezetlen" NA "összkomfortos" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "57 m²" "nincs megadva" "penthouse" "teremgarázs hely - kötelezo megvenni" NA "4 M Ft" NA NA
"6" "74.9" "79" "2" " 6. kerület, Paulay Ede utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "29.9" "31" "1" " 2. kerület, Felhévíz " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "42.9" "67" "3" " 11. kerület, Allende park " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA
"9" "33.5" "76" "3" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" "30 000 Ft/hó"
"10" "23.9" "60" "2" " 20. kerület, Pacsirtatelep " "befejezetlen" NA "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "tetotéri" "utca, közterület" NA NA NA NA
