"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara"
"1" "24.9" "31" "2" " 8. kerület, Kis Fuvaros utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "nincs megadva" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "26.9" "46" "1" " 11. kerület, Fejér Lipót utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "egy helyiségben" "délkelet" "panorámás" "nem" NA "utca, közterület - ingyenes" "nincs" "4 m²" NA NA
"3" "58.5" "65" "2" " 6. kerület, Bajcsy-Zsilinszky út " "felújítandó" NA "nincs megadva" "nincs megadva" "4" "6" "nincs megadva" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "5.5 m²" NA NA
"4" "56.5" "61" "1" " 7. kerület, Erzsébet körút " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "6 m²" NA NA
"5" "89.9" "108" "5" " 14. kerület, Alsórákos " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA NA
"6" "34.9" "33" "1" " 2. kerület, Csalogány utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "98" "128" "3" " 2. kerület, Júlia utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "19 m²" NA NA
"8" "44.9" "54" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA NA
"9" "55.9" "60" "2" " 5. kerület, Balaton utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "57.9" "65" "2" " 5. kerület, Bajcsy-Zsilinszky út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "6 m²" NA NA
