"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "24.5" "53" "2" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "utcai" "3 m²" "nem" "nem tetotéri" "nem vett részt" "nincs megadva"
"2" "30.6" "59" "3" " 21. kerület, Csepel-Erdoalja " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "11 000 Ft/hó" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"3" "32.9" "44" "1" " 7. kerület, Alsó erdosor " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "15 000 Ft/hó" "igen" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet"
"4" "35" "32" "1" " 2. kerület, II/A kerület – Máriaremete " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban"
"5" "35.5" "42" "1" " 7. kerület, Erzsébet körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"6" "119.9" "155" "3" " 9. kerület, Kálvin tér " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület"
"7" "39.9" "81" "3" " 8. kerület, Korányi Sándor utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"8" "29.5" "40" "2" " 9. kerület, Sobieski János utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"9" "82.5" "71" "3" " 3. kerület, Csillaghegy " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "nincs megadva" "északkelet" "panorámás" "20 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes"
"10" "139.9" "119" "3" " 13. kerület, Szent István körút " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "nincs megadva"
